date=05-12-2024, time=06:06:19, id=18, deviceList=111111000000000000000000, readList=010011000000000000000000, code=0425488945
date=05-12-2024, time=06:08:12, id=18, deviceList=111111000000000000000000, readList=010001000000000000000000, code=0425489388
date=05-12-2024, time=06:09:16, id=18, deviceList=111111000000000000000000, readList=011001000000000000000000, code=0425489185
date=05-12-2024, time=06:10:33, id=18, deviceList=111111000000000000000000, readList=100000000000000000000000, code=0425490760
date=05-12-2024, time=06:11:55, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=06:18:07, id=18, deviceList=111111000000000000000000, readList=010010000000000000000000, code=0425489189
date=05-12-2024, time=06:18:35, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=06:19:25, id=18, deviceList=111111000000000000000000, readList=001110000000000000000000, code=0425489191
date=05-12-2024, time=06:20:03, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=06:20:20, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=06:20:45, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=06:21:14, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=06:22:47, id=18, deviceList=111111000000000000000000, readList=100000000000000000000000, code=0425490763
date=05-12-2024, time=06:22:55, id=18, deviceList=111111000000000000000000, readList=001110000000000000000000, code=0425491055
date=05-12-2024, time=06:23:38, id=18, deviceList=111111000000000000000000, readList=011001000000000000000000, code=0425490764
date=05-12-2024, time=06:23:55, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=06:25:20, id=18, deviceList=111111000000000000000000, readList=000010000000000000000000, code=0425490765
date=05-12-2024, time=06:26:09, id=18, deviceList=111111000000000000000000, readList=010001000000000000000000, code=0425488955
date=05-12-2024, time=06:26:30, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=06:30:09, id=18, deviceList=111111000000000000000000, readList=000111000000000000000000, code=0425488956
date=05-12-2024, time=06:35:19, id=18, deviceList=111111000000000000000000, readList=001000000000000000000000, code=0425482003
date=05-12-2024, time=06:35:22, id=18, deviceList=111111000000000000000000, readList=010001000000000000000000, code=0425453172
date=05-12-2024, time=06:35:25, id=18, deviceList=111111000000000000000000, readList=011001000000000000000000, code=0425453173
date=05-12-2024, time=06:35:29, id=18, deviceList=111111000000000000000000, readList=010000000000000000000000, code=0425453174
